age_months,L,mean_height,S,StDev,SD5neg,SD4neg,SD3neg,SD2neg,SD1neg,SD0,SD1,SD2,SD3,SD4,age,sex
145,1,149.6212,0.04755,7.1145,114.049,121.163,128.278,135.392,142.507,149.621,156.736,163.85,170.965,178.079,12,0
146,1,150.1694,0.04758,7.1451,114.444,121.589,128.734,135.879,143.024,150.169,157.314,164.46,171.605,178.75,12,0
147,1,150.7256,0.04759,7.173,114.86,122.033,129.207,136.38,143.553,150.726,157.899,165.072,172.245,179.418,12,0
148,1,151.2899,0.04761,7.2029,115.275,122.478,129.681,136.884,144.087,151.29,158.493,165.696,172.899,180.102,12,0
149,1,151.8623,0.04762,7.2317,115.704,122.936,130.167,137.399,144.631,151.862,159.094,166.326,173.557,180.789,12,0
150,1,152.4425,0.04763,7.2608,116.138,123.399,130.66,137.921,145.182,152.442,159.703,166.964,174.225,181.486,12,0
151,1,153.0298,0.04763,7.2888,116.586,123.875,131.163,138.452,145.741,153.03,160.319,167.607,174.896,182.185,12,0
152,1,153.6234,0.04764,7.3186,117.03,124.349,131.668,138.986,146.305,153.623,160.942,168.261,175.579,182.898,12,0
153,1,154.2223,0.04763,7.3456,117.494,124.84,132.185,139.531,146.877,154.222,161.568,168.914,176.259,183.605,12,0
154,1,154.8258,0.04763,7.3744,117.954,125.328,132.703,140.077,147.451,154.826,162.2,169.575,176.949,184.323,12,0
155,1,155.4329,0.04762,7.4017,118.424,125.826,133.228,140.629,148.031,155.433,162.835,170.236,177.638,185.04,12,0
156,1,156.0426,0.0476,7.4276,118.904,126.332,133.76,141.187,148.615,156.043,163.47,170.898,178.325,185.753,13,0
157,1,156.6539,0.04758,7.4536,119.386,126.84,134.293,141.747,149.2,156.654,164.107,171.561,179.015,186.468,13,0
158,1,157.266,0.04756,7.4796,119.868,127.348,134.827,142.307,149.786,157.266,164.746,172.225,179.705,187.184,13,0
159,1,157.8775,0.04754,7.5055,120.35,127.856,135.361,142.867,150.372,157.878,165.383,172.888,180.394,187.899,13,0
160,1,158.4871,0.04751,7.5297,120.838,128.368,135.898,143.428,150.957,158.487,166.017,173.547,181.076,188.606,13,0
161,1,159.0937,0.04747,7.5522,121.333,128.885,136.437,143.989,151.542,159.094,166.646,174.198,181.75,189.302,13,0
162,1,159.6962,0.04744,7.576,121.816,129.392,136.968,144.544,152.12,159.696,167.272,174.848,182.424,190,13,0
163,1,160.2939,0.0474,7.5979,122.304,129.902,137.5,145.098,152.696,160.294,167.892,175.49,183.088,190.686,13,0
164,1,160.8861,0.04735,7.618,122.796,130.414,138.032,145.65,153.268,160.886,168.504,176.122,183.74,191.358,13,0
165,1,161.472,0.0473,7.6376,123.284,130.921,138.559,146.197,153.834,161.472,169.11,176.747,184.385,192.023,13,0
166,1,162.0505,0.04725,7.6569,123.766,131.423,139.08,146.737,154.394,162.05,169.707,177.364,185.021,192.678,13,0
167,1,162.6207,0.0472,7.6757,124.242,131.918,139.594,147.269,154.945,162.621,170.296,177.972,185.648,193.323,13,0
168,1,163.1816,0.04714,7.6924,124.72,132.412,140.104,147.797,155.489,163.182,170.874,178.566,186.259,193.951,14,0
169,1,163.7321,0.04707,7.7069,125.198,132.905,140.611,148.318,156.025,163.732,171.439,179.146,186.853,194.56,14,0
